Albany-Schenectady NY,Med,2012,610,67,300,7060,5490,17.14,89.56,3.75,4.17,,,,9780,58,20,36,19638,59,41,43,1.16,63,1.18,66,,,475,59,983,40
Albany-Schenectady NY,Med,2013,610,68,300,7068,5513,17.39,89.60,3.79,4.20,,,,9976,58,21,27,20031,59,42,40,1.16,63,1.18,69,,,477,58,988,41
Albany-Schenectady NY,Med,2014,610,68,300,7273,5623,17.67,94.04,3.63,3.92,25,24,3,10164,58,21,32,20409,59,42,43,1.17,54,1.18,71,2,60,479,58,991,39
Albuquerque NM,Med,1982,470,59,183,1735,5000,7.20,43.08,1.47,1.26,,,,2400,48,4,28,4477,51,15,33,1.07,35,1.09,43,,,269,49,476,32
Albuquerque NM,Med,1983,480,59,189,1885,5200,7.43,44.23,1.41,1.21,,,,2664,47,5,19,4970,51,16,32,1.07,39,1.09,47,,,289,47,512,29
Albuquerque NM,Med,1984,480,58,190,1870,5400,7.75,46.47,1.37,1.18,,,,2836,48,5,22,5292,51,17,34,1.08,38,1.10,46,,,295,49,522,31
Albuquerque NM,Med,1985,485,59,194,1865,5500,8.03,47.83,1.36,1.17,,,,2877,50,5,29,5369,52,17,38,1.08,39,1.10,48,,,289,52,511,36
Albuquerque NM,Med,1986,495,58,199,1980,5650,8.18,46.57,1.04,0.89,,,,3206,50,6,23,5981,53,19,37,1.08,42,1.10,51,,,316,53,559,35
Albuquerque NM,Med,1987,505,58,204,2100,5750,8.48,48.53,1.06,0.91,,,,3329,51,6,27,6211,53,19,43,1.08,44,1.10,52,,,317,54,561,38
Albuquerque NM,Med,1988,520,56,212,2225,5900,8.83,50.04,1.06,0.91,,,,3486,53,6,31,6505,53,19,49,1.08,48,1.11,51,,,319,54,564,42
Albuquerque NM,Med,1989,530,56,218,2310,6050,9.25,52.81,1.15,0.99,,,,3827,53,7,29,7140,53,20,49,1.09,48,1.11,52,,,334,54,590,43
Albuquerque NM,Med,1990,545,56,226,2430,6100,9.75,55.03,1.11,1.05,,,,4107,53,7,38,7663,54,21,53,1.09,56,1.12,51,,,340,54,601,45
Albuquerque NM,Med,1991,560,56,235,2480,6150,10.17,57.31,1.10,1.14,,,,4509,53,8,31,8413,55,22,54,1.10,51,1.12,54,,,358,54,633,44
